Name,Lat,Long
Eiffel Tower,48.858372,2.294481
Louvre Museum,48.8606,2.3376
Notre-Dame de Paris,48.853,2.3499
Arc de Triomphe,48.8738,2.295
Wall of Love,48.8846,2.3385
The Basilica of the Sacred Heart of Paris,48.8867,2.3431
Moulin Rouge,48.8841,2.3323
Museum,48.86,2.3266
Tuileries Garden,48.8635,2.3275
Orangerie Museum,48.8638,2.3227
Latin Quarter,48.8509,2.3456
Luxembourg Gardens,48.8462,2.3372
Saint-Germain-des-Pres,48.8538,2.3333
Picasso National Museum,48.8599,2.3623
The Centre Pompidou,48.8606,2.3522
